yield_id,farmer_id,crop_id,harvest_year,total_yield_tons
Y0241,F0147,C0241,2026,31.5
Y0242,F0147,C0242,2025,164.1
Y0243,F0148,C0243,2024,8.8
Y0244,F0148,C0244,2025,458.7
Y0245,F0149,C0245,2024,10.5
Y0246,F0149,C0246,2024,10.6
Y0247,F0149,C0247,2027,144.6
Y0248,F0150,C0248,2025,176.3
Y0249,F0151,C0249,2026,8.1
Y0250,F0152,C0250,2026,76.9
Y0251,F0153,C0251,2027,143.2
Y0252,F0154,C0252,2025,4.5
Y0253,F0155,C0253,2026,0.6
Y0254,F0155,C0254,2026,6.2
Y0255,F0156,C0255,2025,174.7
Y0256,F0156,C0256,2026,70.8
Y0257,F0156,C0257,2025,105.5
Y0258,F0157,C0258,2026,11.6
Y0259,F0157,C0259,2025,37.2
Y0260,F0158,C0260,2024,28.4
Y0261,F0159,C0261,2027,566.9
Y0262,F0159,C0262,2026,494.5
Y0263,F0159,C0263,2026,76.5
Y0264,F0160,C0264,2027,345.8
Y0265,F0160,C0265,2027,17.1
Y0266,F0160,C0266,2026,8.7
Y0267,F0161,C0267,2026,5.7
Y0268,F0161,C0268,2025,37.1
Y0269,F0161,C0269,2024,1.9
Y0270,F0162,C0270,2026,1.3
Y0271,F0162,C0271,2025,2.6
Y0272,F0162,C0272,2027,47.0
Y0273,F0163,C0273,2025,4.1
Y0274,F0163,C0274,2026,2.8
Y0275,F0163,C0275,2025,1.2
Y0276,F0164,C0276,2025,3.2
Y0277,F0164,C0277,2024,4.0
Y0278,F0165,C0278,2024,76.8
Y0279,F0166,C0279,2027,37.2
Y0280,F0167,C0280,2027,234.9
Y0281,F0168,C0281,2025,11.4
Y0282,F0168,C0282,2025,99.0
Y0283,F0168,C0283,2026,12.6
Y0284,F0169,C0284,2027,25.3
Y0285,F0170,C0285,2026,17.9
Y0286,F0171,C0286,2026,5.5
Y0287,F0171,C0287,2027,34.4
Y0288,F0171,C0288,2024,1.7
Y0289,F0172,C0289,2027,94.7
Y0290,F0172,C0290,2026,4.2
Y0291,F0173,C0291,2025,3.0
Y0292,F0174,C0292,2025,10.6
Y0293,F0174,C0293,2024,10.3
Y0294,F0175,C0294,2025,247.1
Y0295,F0175,C0295,2025,71.5
Y0296,F0176,C0296,2026,7.0
Y0297,F0176,C0297,2025,9.8
Y0298,F0177,C0298,2027,34.3
Y0299,F0178,C0299,2025,6.6
Y0300,F0178,C0300,2027,23.7
Y0301,F0179,C0301,2027,103.6
Y0302,F0180,C0302,2025,2.4
Y0303,F0181,C0303,2024,28.2
Y0304,F0182,C0304,2027,14.8
Y0305,F0183,C0305,2025,6.9
Y0306,F0183,C0306,2025,27.4
Y0307,F0184,C0307,2026,0.3
Y0308,F0185,C0308,2024,148.8
Y0309,F0186,C0309,2027,21.3
Y0310,F0187,C0310,2027,46.9
Y0311,F0187,C0311,2027,155.2
Y0312,F0188,C0312,2026,7.9
Y0313,F0188,C0313,2025,12.0
Y0314,F0188,C0314,2026,82.9
Y0315,F0189,C0315,2026,2.3
Y0316,F0190,C0316,2025,12.5
Y0317,F0191,C0317,2026,8.0
Y0318,F0191,C0318,2026,15.0
Y0319,F0192,C0319,2024,277.0
Y0320,F0193,C0320,2025,4.8
Y0321,F0194,C0321,2025,37.3
Y0322,F0195,C0322,2026,8.4
Y0323,F0195,C0323,2024,10.5
Y0324,F0196,C0324,2025,7.2
Y0325,F0196,C0325,2026,5.2
Y0326,F0197,C0326,2025,9.1
Y0327,F0197,C0327,2025,70.5
Y0328,F0198,C0328,2024,12.3
Y0329,F0198,C0329,2024,12.2
Y0330,F0199,C0330,2025,45.8
Y0331,F0199,C0331,2024,6.3
Y0332,F0199,C0332,2025,216.5
Y0333,F0200,C0333,2026,3.1
Y0334,F0201,C0334,2027,240.0
Y0335,F0201,C0335,2027,17.3
Y0336,F0201,C0336,2026,4.7
Y0337,F0202,C0337,2027,11.7
Y0338,F0203,C0338,2026,7.5
Y0339,F0204,C0339,2026,5.0
Y0340,F0205,C0340,2025,116.4
Y0341,F0205,C0341,2026,3.3
Y0342,F0205,C0342,2026,12.8
Y0343,F0206,C0343,2025,226.9
Y0344,F0207,C0344,2027,53.3
Y0345,F0208,C0345,2025,7.3
Y0346,F0208,C0346,2024,91.9
Y0347,F0209,C0347,2026,196.6
Y0348,F0210,C0348,2026,182.3
Y0349,F0211,C0349,2025,3.9
Y0350,F0212,C0350,2024,112.7
Y0351,F0213,C0351,2026,3.1
Y0352,F0214,C0352,2025,19.9
Y0353,F0214,C0353,2025,13.8
Y0354,F0215,C0354,2027,145.5
Y0355,F0216,C0355,2027,12.4
Y0356,F0216,C0356,2025,7.6
Y0357,F0217,C0357,2025,12.7
Y0358,F0217,C0358,2027,13.9
Y0359,F0218,C0359,2026,20.9
Y0360,F0218,C0360,2026,3.4
Y0361,F0218,C0361,2025,7.3
Y0362,F0219,C0362,2024,3.0
Y0363,F0220,C0363,2025,606.1
Y0364,F0221,C0364,2024,13.5
Y0365,F0222,C0365,2027,20.4
Y0366,F0223,C0366,2024,8.4
Y0367,F0223,C0367,2027,59.0
Y0368,F0224,C0368,2027,2.0
Y0369,F0224,C0369,2026,89.7
Y0370,F0225,C0370,2026,9.9
Y0371,F0226,C0371,2026,7.4
Y0372,F0226,C0372,2025,64.4
Y0373,F0226,C0373,2025,16.7
Y0374,F0227,C0374,2026,4.0
Y0375,F0228,C0375,2026,9.1
Y0376,F0228,C0376,2026,119.4
Y0377,F0229,C0377,2024,32.8
Y0378,F0230,C0378,2026,159.1
Y0379,F0231,C0379,2025,169.5
Y0380,F0232,C0380,2025,1.4
Y0381,F0233,C0381,2026,11.0
Y0382,F0233,C0382,2024,9.6
Y0383,F0233,C0383,2027,324.9
Y0384,F0234,C0384,2025,11.3
Y0385,F0235,C0385,2025,96.2
Y0386,F0235,C0386,2026,3.1
Y0387,F0236,C0387,2026,69.9
Y0388,F0236,C0388,2026,106.7
Y0389,F0236,C0389,2026,9.3
Y0390,F0237,C0390,2024,6.9
Y0391,F0238,C0391,2026,32.0
Y0392,F0238,C0392,2026,49.4
Y0393,F0239,C0393,2025,7.0
Y0394,F0239,C0394,2026,81.9
Y0395,F0240,C0395,2026,25.7
Y0396,F0241,C0396,2026,17.4
Y0397,F0241,C0397,2024,4.7
Y0398,F0242,C0398,2025,10.1
Y0399,F0243,C0399,2026,4.4
Y0400,F0244,C0400,2025,82.9
Y0401,F0244,C0401,2026,91.3
Y0402,F0245,C0402,2026,12.3
Y0403,F0245,C0403,2024,9.5
Y0404,F0246,C0404,2026,18.3
Y0405,F0246,C0405,2025,12.5
Y0406,F0247,C0406,2025,56.0
Y0407,F0248,C0407,2027,126.5
Y0408,F0248,C0408,2026,280.8
Y0409,F0249,C0409,2027,77.2
Y0410,F0250,C0410,2025,53.2
Y0411,F0251,C0411,2024,5.4
Y0412,F0251,C0412,2025,3.7
Y0413,F0252,C0413,2025,0.7
Y0414,F0252,C0414,2025,3.4
Y0415,F0253,C0415,2026,6.0
Y0416,F0254,C0416,2027,210.3
Y0417,F0255,C0417,2026,6.6
Y0418,F0256,C0418,2025,21.9
Y0419,F0256,C0419,2027,75.4
Y0420,F0257,C0420,2025,5.8
Y0421,F0258,C0421,2027,47.1
Y0422,F0258,C0422,2024,0.8
Y0423,F0259,C0423,2025,4.8
Y0424,F0259,C0424,2025,79.4
Y0425,F0260,C0425,2024,2.7
Y0426,F0260,C0426,2027,66.2
Y0427,F0261,C0427,2024,143.5
Y0428,F0262,C0428,2025,18.7
Y0429,F0263,C0429,2027,32.7
Y0430,F0264,C0430,2024,2.8
Y0431,F0265,C0431,2025,24.3
Y0432,F0265,C0432,2025,2.8
Y0433,F0266,C0433,2024,0.3
Y0434,F0267,C0434,2026,0.5
Y0435,F0268,C0435,2026,7.1
Y0436,F0268,C0436,2025,71.4
Y0437,F0269,C0437,2025,14.9
Y0438,F0270,C0438,2024,3.4
Y0439,F0270,C0439,2024,214.8
Y0440,F0271,C0440,2026,58.6
Y0441,F0272,C0441,2024,2.7
Y0442,F0272,C0442,2026,3.1
Y0443,F0273,C0443,2025,171.8
Y0444,F0273,C0444,2027,80.4
Y0445,F0273,C0445,2027,20.1
Y0446,F0274,C0446,2026,49.2
Y0447,F0274,C0447,2025,21.8
Y0448,F0275,C0448,2027,386.8
Y0449,F0275,C0449,2026,5.3
Y0450,F0275,C0450,2025,17.7
Y0451,F0276,C0451,2026,5.2
Y0452,F0277,C0452,2024,5.8
Y0453,F0277,C0453,2026,13.8
Y0454,F0277,C0454,2026,74.3
Y0455,F0278,C0455,2024,8.6
Y0456,F0278,C0456,2026,8.3
Y0457,F0278,C0457,2027,124.6
Y0458,F0279,C0458,2027,14.9
Y0459,F0280,C0459,2027,15.1
Y0460,F0281,C0460,2025,400.7
Y0461,F0281,C0461,2025,12.5
Y0462,F0282,C0462,2026,238.0
Y0463,F0283,C0463,2025,5.1
Y0464,F0283,C0464,2024,2.6
Y0465,F0283,C0465,2026,4.0
Y0466,F0284,C0466,2026,10.1
Y0467,F0285,C0467,2027,3.8
Y0468,F0285,C0468,2026,1.4
Y0469,F0285,C0469,2027,20.4
Y0470,F0286,C0470,2026,8.4
Y0471,F0287,C0471,2026,22.8
Y0472,F0287,C0472,2025,3.2
Y0473,F0288,C0473,2027,20.8
Y0474,F0289,C0474,2026,11.0
Y0475,F0290,C0475,2026,9.8
Y0476,F0291,C0476,2027,11.3
Y0477,F0292,C0477,2027,16.1
Y0478,F0292,C0478,2025,11.0
Y0479,F0293,C0479,2025,11.1
Y0480,F0294,C0480,2025,7.4
Y0481,F0295,C0481,2026,113.5
Y0482,F0295,C0482,2025,301.1
Y0483,F0296,C0483,2026,39.7
Y0484,F0296,C0484,2026,5.6
Y0485,F0297,C0485,2026,3.5
Y0486,F0297,C0486,2026,101.4
Y0487,F0298,C0487,2027,9.1
Y0488,F0298,C0488,2026,8.1
Y0489,F0299,C0489,2027,514.3
Y0490,F0300,C0490,2025,6.3
Y0491,F0300,C0491,2027,83.9
Y0492,F0300,C0492,2027,3.3
Y0493,F0301,C0493,2024,37.1
Y0494,F0302,C0494,2026,79.6
Y0495,F0303,C0495,2025,50.3
Y0496,F0304,C0496,2024,102.8
Y0497,F0305,C0497,2026,141.2
Y0498,F0305,C0498,2026,3.5
Y0499,F0305,C0499,2026,38.5
Y0500,F0306,C0500,2024,28.1
Y0501,F0306,C0501,2026,14.5
Y0502,F0307,C0502,2025,44.1
Y0503,F0308,C0503,2024,185.3
Y0504,F0308,C0504,2026,5.6
Y0505,F0309,C0505,2024,6.5
Y0506,F0310,C0506,2026,7.3
Y0507,F0310,C0507,2024,4.3
Y0508,F0311,C0508,2024,100.4
Y0509,F0312,C0509,2026,144.2
Y0510,F0312,C0510,2024,12.6
Y0511,F0313,C0511,2025,115.3
Y0512,F0314,C0512,2025,2.9
Y0513,F0315,C0513,2025,8.3
Y0514,F0315,C0514,2025,228.5
Y0515,F0316,C0515,2025,1.7
Y0516,F0316,C0516,2027,171.8
Y0517,F0317,C0517,2024,15.5
Y0518,F0317,C0518,2025,15.2
Y0519,F0317,C0519,2026,15.3
Y0520,F0318,C0520,2026,8.4
Y0521,F0319,C0521,2026,83.7
Y0522,F0320,C0522,2025,9.1
Y0523,F0321,C0523,2027,44.9
Y0524,F0322,C0524,2026,18.3
Y0525,F0323,C0525,2027,19.9
Y0526,F0324,C0526,2027,3.7
Y0527,F0325,C0527,2025,5.2
Y0528,F0325,C0528,2026,63.5
Y0529,F0326,C0529,2024,8.3
Y0530,F0327,C0530,2025,10.7
Y0531,F0327,C0531,2024,7.2
Y0532,F0328,C0532,2027,146.7
Y0533,F0329,C0533,2027,80.0
Y0534,F0329,C0534,2027,104.5
Y0535,F0330,C0535,2024,195.4
Y0536,F0331,C0536,2027,113.7
Y0537,F0331,C0537,2027,184.3
Y0538,F0332,C0538,2026,4.1
Y0539,F0332,C0539,2025,180.1
Y0540,F0332,C0540,2024,5.2
Y0541,F0333,C0541,2027,15.5
Y0542,F0334,C0542,2024,0.3
Y0543,F0334,C0543,2025,1.4
Y0544,F0334,C0544,2025,6.3
Y0545,F0335,C0545,2027,88.5
Y0546,F0336,C0546,2026,101.4
Y0547,F0337,C0547,2024,2.5
Y0548,F0338,C0548,2025,9.5
Y0549,F0338,C0549,2026,74.0
Y0550,F0339,C0550,2027,14.2
Y0551,F0339,C0551,2026,14.3
Y0552,F0339,C0552,2026,0.9
Y0553,F0340,C0553,2026,20.8
Y0554,F0340,C0554,2026,4.5
Y0555,F0341,C0555,2026,4.4
Y0556,F0342,C0556,2025,3.8
Y0557,F0342,C0557,2026,63.9
Y0558,F0343,C0558,2026,8.5
Y0559,F0343,C0559,2026,44.6
Y0560,F0344,C0560,2024,2.6
Y0561,F0345,C0561,2024,151.7
Y0562,F0345,C0562,2026,159.8
Y0563,F0345,C0563,2025,406.5
Y0564,F0346,C0564,2026,7.4
Y0565,F0346,C0565,2024,7.7
Y0566,F0347,C0566,2024,7.8
Y0567,F0348,C0567,2027,78.6
Y0568,F0348,C0568,2024,5.6
Y0569,F0349,C0569,2025,122.3
Y0570,F0349,C0570,2025,104.4
Y0571,F0350,C0571,2025,5.1
Y0572,F0350,C0572,2024,200.8
Y0573,F0351,C0573,2026,322.2
Y0574,F0352,C0574,2026,2.9
Y0575,F0353,C0575,2026,108.7
Y0576,F0353,C0576,2026,8.0
Y0577,F0354,C0577,2025,38.3
Y0578,F0355,C0578,2026,30.6
Y0579,F0355,C0579,2024,1.7
Y0580,F0356,C0580,2025,36.9
Y0581,F0357,C0581,2025,1.7
Y0582,F0357,C0582,2026,15.9
Y0583,F0357,C0583,2024,0.7
Y0584,F0358,C0584,2025,3.0
Y0585,F0358,C0585,2025,20.2
Y0586,F0358,C0586,2025,21.5
Y0587,F0359,C0587,2025,11.4
Y0588,F0360,C0588,2027,26.5
Y0589,F0360,C0589,2026,13.0
Y0590,F0360,C0590,2026,154.6
Y0591,F0361,C0591,2026,29.6
Y0592,F0361,C0592,2026,6.1
Y0593,F0361,C0593,2025,95.6
Y0594,F0362,C0594,2025,5.9
Y0595,F0363,C0595,2027,12.8
Y0596,F0364,C0596,2024,0.4
Y0597,F0364,C0597,2027,11.2
Y0598,F0365,C0598,2027,6.3
Y0599,F0366,C0599,2027,251.4
Y0600,F0366,C0600,2025,66.2
Y0601,F0367,C0601,2024,3.8
Y0602,F0367,C0602,2025,24.4
Y0603,F0368,C0603,2025,316.3
Y0604,F0368,C0604,2026,6.2
Y0605,F0369,C0605,2027,495.1
Y0606,F0370,C0606,2026,9.1
Y0607,F0371,C0607,2025,9.3
Y0608,F0371,C0608,2025,160.9
Y0609,F0372,C0609,2024,11.4
Y0610,F0373,C0610,2024,131.4
Y0611,F0374,C0611,2027,68.1
Y0612,F0375,C0612,2024,1.9
Y0613,F0375,C0613,2026,17.4
Y0614,F0376,C0614,2027,78.0
Y0615,F0376,C0615,2027,277.2
Y0616,F0377,C0616,2025,1.2
Y0617,F0378,C0617,2027,224.7
Y0618,F0379,C0618,2027,11.3
Y0619,F0379,C0619,2025,104.7
Y0620,F0379,C0620,2026,59.0
Y0621,F0380,C0621,2025,100.7
Y0622,F0381,C0622,2024,3.5
Y0623,F0382,C0623,2025,5.5
Y0624,F0383,C0624,2024,4.4
Y0625,F0384,C0625,2026,75.3
Y0626,F0385,C0626,2026,2.5
Y0627,F0386,C0627,2025,6.8
Y0628,F0386,C0628,2027,74.3
Y0629,F0387,C0629,2026,12.4
Y0630,F0387,C0630,2026,7.4
Y0631,F0388,C0631,2025,6.5
Y0632,F0389,C0632,2026,110.7
Y0633,F0390,C0633,2024,1.6
Y0634,F0390,C0634,2026,3.5
Y0635,F0390,C0635,2027,74.4
Y0636,F0391,C0636,2027,219.4
Y0637,F0392,C0637,2026,137.8
Y0638,F0392,C0638,2025,237.6
Y0639,F0392,C0639,2025,8.8
Y0640,F0393,C0640,2024,6.6
Y0641,F0394,C0641,2025,22.5
Y0642,F0395,C0642,2026,45.0
Y0643,F0395,C0643,2027,2.6
Y0644,F0395,C0644,2025,58.8
Y0645,F0396,C0645,2027,131.1
Y0646,F0396,C0646,2026,27.0
Y0647,F0397,C0647,2025,8.9
Y0648,F0397,C0648,2026,3.4
Y0649,F0397,C0649,2026,163.2
Y0650,F0398,C0650,2026,149.1
Y0651,F0398,C0651,2025,92.6
Y0652,F0398,C0652,2024,33.4
Y0653,F0399,C0653,2026,413.8
Y0654,F0399,C0654,2025,18.0
Y0655,F0400,C0655,2026,5.4
Y0656,F0400,C0656,2025,62.6
Y0657,F0401,C0657,2026,79.7
Y0658,F0402,C0658,2025,4.8
Y0659,F0402,C0659,2027,44.8
Y0660,F0402,C0660,2026,3.6
Y0661,F0403,C0661,2025,71.9
Y0662,F0404,C0662,2026,101.5
Y0663,F0404,C0663,2025,25.7
Y0664,F0405,C0664,2024,5.9
Y0665,F0405,C0665,2027,136.9
Y0666,F0406,C0666,2026,483.8
Y0667,F0406,C0667,2026,25.6
Y0668,F0407,C0668,2024,109.5
Y0669,F0408,C0669,2026,1.6
Y0670,F0409,C0670,2027,148.2
Y0671,F0409,C0671,2026,14.4
Y0672,F0409,C0672,2026,3.1
Y0673,F0410,C0673,2024,173.1
Y0674,F0411,C0674,2024,7.8
Y0675,F0411,C0675,2024,7.6
Y0676,F0412,C0676,2025,34.5
Y0677,F0413,C0677,2027,17.6
Y0678,F0414,C0678,2027,1.4
Y0679,F0415,C0679,2024,3.5
Y0680,F0416,C0680,2026,7.1
Y0681,F0416,C0681,2026,0.6
Y0682,F0417,C0682,2024,13.7
Y0683,F0418,C0683,2025,15.4
Y0684,F0418,C0684,2026,441.0
Y0685,F0419,C0685,2025,5.0
Y0686,F0420,C0686,2025,10.5
Y0687,F0421,C0687,2025,77.8
Y0688,F0421,C0688,2025,130.2
Y0689,F0421,C0689,2025,13.1
Y0690,F0422,C0690,2026,2.2
Y0691,F0423,C0691,2025,30.5
Y0692,F0424,C0692,2027,108.8
Y0693,F0424,C0693,2024,61.1
Y0694,F0425,C0694,2025,19.4
Y0695,F0426,C0695,2027,117.0
Y0696,F0427,C0696,2025,1.7
Y0697,F0427,C0697,2024,1.9
