weather_id,date,district,temperature_c,humidity_percent,rainfall_mm
W0064,2024-03-14,Satara,30.1,32.0,0.0
W0065,2024-03-15,Jalgaon,34.6,25.0,0.0
W0066,2024-03-16,Ahmednagar,30.1,22.0,0.0
W0067,2024-03-17,Aurangabad,31.3,21.0,0.0
W0068,2024-03-17,Pune,29.9,30.0,0.0
W0069,2024-03-18,Latur,32.0,27.0,0.0
W0070,2024-03-18,Satara,25.8,39.0,0.0
W0071,2024-03-22,Beed,29.7,21.0,0.0
W0072,2024-03-22,Jalgaon,31.1,23.0,0.0
W0073,2024-03-23,Jalgaon,31.2,32.0,0.0
W0074,2024-03-23,Nashik,29.2,31.0,0.0
W0075,2024-03-24,Kolhapur,29.1,41.0,0.0
W0076,2024-03-24,Sangli,31.0,27.0,0.0
W0077,2024-03-25,Beed,29.9,27.0,0.0
W0078,2024-03-25,Jalgaon,31.7,22.0,0.0
W0079,2024-03-26,Jalgaon,31.2,27.0,0.0
W0080,2024-03-26,Pune,28.7,24.0,0.0
W0081,2024-03-27,Ahmednagar,30.2,16.0,0.0
W0082,2024-03-29,Satara,27.8,45.0,0.0
W0083,2024-03-30,Kolhapur,28.2,36.0,0.0
W0084,2024-03-31,Satara,26.1,40.0,0.0
W0085,2024-04-03,Satara,33.4,38.0,0.0
W0086,2024-04-04,Pune,34.5,30.0,0.0
W0087,2024-04-08,Sangli,34.1,23.0,7.2
W0088,2024-04-09,Nanded,36.2,32.0,0.0
W0089,2024-04-09,Sangli,34.3,25.0,0.0
W0090,2024-04-09,Solapur,37.6,15,0.0
W0091,2024-04-10,Nashik,32.4,38.0,0.0
W0092,2024-04-10,Satara,33.8,46.0,20.0
W0093,2024-04-11,Sangli,34.3,35.0,0.0
W0094,2024-04-13,Jalgaon,35.8,22.0,0.0
W0095,2024-04-13,Kolhapur,30.9,45.0,0.0
W0096,2024-04-14,Ahmednagar,33.1,28.0,0.0
W0097,2024-04-15,Jalgaon,38.7,25.0,0.0
W0098,2024-04-15,Sangli,36.5,30.0,0.0
W0099,2024-04-15,Solapur,37.7,15,0.0
W0100,2024-04-16,Pune,35.8,33.0,0.0
W0101,2024-04-19,Nashik,31.1,33.0,0.0
W0102,2024-04-21,Aurangabad,36.2,16.0,0.0
W0103,2024-04-21,Beed,36.2,21.0,0.0
W0104,2024-04-22,Nanded,35.1,28.0,0.0
W0105,2024-04-24,Nanded,37.1,32.0,0.0
W0106,2024-04-25,Kolhapur,32.2,38.0,0.0
W0107,2024-04-25,Nanded,35.0,31.0,0.0
W0108,2024-04-26,Pune,35.5,22.0,0.0
W0109,2024-04-26,Sangli,35.2,27.0,0.0
W0110,2024-04-27,Nanded,37.4,21.0,8.6
W0111,2024-04-27,Satara,34.4,35.0,0.0
W0112,2024-05-02,Pune,37.0,34.0,0.0
W0113,2024-05-03,Solapur,39.4,27.0,0.0
W0114,2024-05-04,Kolhapur,37.1,33.0,0.0
W0115,2024-05-05,Nanded,37.1,19.0,0.0
W0116,2024-05-05,Satara,33.8,39.0,0.0
W0117,2024-05-06,Jalgaon,39.4,25.0,0.0
W0118,2024-05-08,Ahmednagar,39.7,17.0,0.0
W0119,2024-05-09,Beed,37.0,16.0,0.0
W0120,2024-05-10,Beed,38.7,22.0,0.0
W0121,2024-05-10,Pune,36.5,31.0,0.0
W0122,2024-05-10,Sangli,38.8,31.0,0.0
W0123,2024-05-11,Aurangabad,35.5,25.0,0.0
W0124,2024-05-11,Beed,37.1,22.0,0.0
W0125,2024-05-12,Sangli,38.2,29.0,0.0
W0126,2024-05-13,Aurangabad,35.7,19.0,0.0
W0127,2024-05-13,Latur,36.9,31.0,0.0
W0128,2024-05-17,Latur,35.7,22.0,0.0
W0129,2024-05-20,Sangli,37.4,25.0,0.0
W0130,2024-05-22,Ahmednagar,37.8,24.0,0.0
W0131,2024-05-23,Latur,36.7,18.0,0.0
W0132,2024-05-24,Aurangabad,40.3,23.0,0.0
W0133,2024-05-24,Jalgaon,39.9,27.0,0.0
W0134,2024-05-24,Nashik,37.8,36.0,0.0
W0135,2024-05-24,Pune,35.6,23.0,0.0
W0136,2024-05-24,Solapur,36.6,15.0,0.0
W0137,2024-05-25,Nanded,40.9,25.0,0.0
W0138,2024-05-25,Pune,35.1,30.0,0.0
W0139,2024-05-29,Nanded,39.4,27.0,0.0
W0140,2024-05-30,Sangli,35.4,32.0,0.0
W0141,2024-05-31,Satara,32.9,35.0,0.0
W0142,2024-06-01,Pune,27.4,73.0,0.0
W0143,2024-06-02,Aurangabad,27.5,78.0,35.3
W0144,2024-06-02,Latur,27.1,71.0,0.0
W0145,2024-06-03,Satara,25.7,82.0,90.6
W0146,2024-06-04,Latur,29.4,74.0,0.0
W0147,2024-06-04,Pune,26.8,80.0,0.0
W0148,2024-06-09,Nashik,26.9,76.0,0.0
W0149,2024-06-10,Ahmednagar,28.4,73.0,0.0
W0150,2024-06-12,Nanded,25.8,73.0,29.3
W0151,2024-06-13,Beed,29.7,71.0,0.0
W0152,2024-06-13,Pune,25.7,83.0,0.0
W0153,2024-06-13,Satara,25.9,84.0,0.0
W0154,2024-06-14,Jalgaon,29.4,69.0,0.0
W0155,2024-06-14,Latur,28.5,80.0,0.0
W0156,2024-06-16,Kolhapur,22.7,91.0,70.3
W0157,2024-06-16,Sangli,27.2,71.0,0.0
W0158,2024-06-20,Aurangabad,25.1,77.0,0.0
W0159,2024-06-20,Beed,27.6,74.0,0.0
W0160,2024-06-25,Sangli,23.9,68.0,0.0
W0161,2024-06-26,Latur,28.8,75.0,0.0
W0162,2024-06-26,Nanded,29.7,80.0,0.0
W0163,2024-06-26,Nashik,24.2,74.0,21.0
W0164,2024-06-28,Beed,27.9,63.0,0.0
W0165,2024-06-29,Kolhapur,22.9,92.0,72.2
W0166,2024-07-01,Aurangabad,26.8,68.0,0.0
W0167,2024-07-01,Kolhapur,25.3,85.0,13.7
W0168,2024-07-01,Nanded,28.3,70.0,0.0
W0169,2024-07-03,Beed,29.6,68.0,12.9
W0170,2024-07-03,Solapur,29.9,74.0,0.0
W0171,2024-07-04,Ahmednagar,27.6,70.0,28.2
W0172,2024-07-04,Beed,30.5,62.0,0.0
W0173,2024-07-04,Sangli,26.0,68.0,0.0
W0174,2024-07-05,Satara,22.8,90.0,66.3
W0175,2024-07-07,Nanded,29.6,79.0,0.0
W0176,2024-07-07,Satara,21.6,85.0,0.0
W0177,2024-07-08,Nashik,23.3,74.0,7.4
W0178,2024-07-09,Nanded,27.7,76.0,33.5
W0179,2024-07-14,Latur,27.2,68.0,26.0
W0180,2024-07-15,Ahmednagar,28.8,68.0,0.0
W0181,2024-07-15,Aurangabad,24.7,70.0,0.0
W0182,2024-07-16,Beed,29.2,65.0,0.0
W0183,2024-07-16,Nashik,23.7,79.0,0.0
W0184,2024-07-18,Latur,27.4,76.0,0.0
W0185,2024-07-18,Nashik,23.4,84.0,24.8
W0186,2024-07-22,Ahmednagar,24.8,62.0,0.0
W0187,2024-07-22,Beed,27.6,73.0,0.0
W0188,2024-07-24,Satara,25.2,82.0,10.8
W0189,2024-07-25,Satara,25.9,87.0,70.2
W0190,2024-07-26,Jalgaon,28.8,72.0,0.0
W0191,2024-07-26,Sangli,26.4,73.0,20.3
W0192,2024-07-29,Ahmednagar,25.2,63.0,8.2
W0193,2024-07-29,Latur,28.9,74.0,0.0
W0194,2024-07-29,Solapur,29.0,76.0,27.3
W0195,2024-07-31,Sangli,24.9,79.0,0.0
W0196,2024-07-31,Solapur,30.1,70.0,0.0
W0197,2024-08-01,Satara,25.0,84.0,86.1
W0198,2024-08-04,Sangli,28.0,71.0,2.6
W0199,2024-08-05,Nashik,25.6,80.0,27.4
W0200,2024-08-06,Nanded,25.7,77.0,0.0
W0201,2024-08-07,Ahmednagar,27.3,71.0,0.0
W0202,2024-08-09,Pune,28.5,73.0,44.8
W0203,2024-08-10,Nanded,27.1,70.0,0.0
W0204,2024-08-12,Ahmednagar,29.4,67.0,0.0
W0205,2024-08-14,Aurangabad,25.6,71.0,24.5
W0206,2024-08-14,Jalgaon,31.1,70.0,27.1
W0207,2024-08-15,Kolhapur,25.6,85.0,41.1
W0208,2024-08-15,Nashik,23.4,81.0,0.0
W0209,2024-08-15,Satara,23.5,90.0,89.4
W0210,2024-08-16,Nashik,27.4,78.0,0.0
W0211,2024-08-16,Satara,25.2,92.0,93.3
W0212,2024-08-17,Nashik,23.8,83.0,0.0
W0213,2024-08-18,Pune,24.4,73.0,60.4
W0214,2024-08-19,Satara,24.8,92.0,82.5
W0215,2024-08-20,Beed,28.2,65.0,0.0
W0216,2024-08-23,Aurangabad,28.6,69.0,12.9
W0217,2024-08-23,Solapur,26.6,61.0,0.0
W0218,2024-08-25,Jalgaon,30.7,74.0,45.2
W0219,2024-08-25,Nashik,23.9,72.0,57.1
W0220,2024-08-27,Nanded,30.2,80.0,27.6
W0221,2024-08-28,Latur,28.9,76.0,0.0
W0222,2024-08-29,Latur,27.7,76.0,0.0
W0223,2024-08-29,Solapur,27.4,70.0,0.0
W0224,2024-08-31,Kolhapur,24.4,87.0,107.2
W0225,2024-08-31,Sangli,24.0,67.0,7.5
W0226,2024-08-31,Satara,26.1,86.0,4.8
W0227,2024-09-01,Ahmednagar,25.8,71.0,2.6
W0228,2024-09-01,Solapur,25.9,69.0,0.0
W0229,2024-09-03,Jalgaon,29.6,65.0,0.0
W0230,2024-09-05,Nashik,26.9,86.0,0.0
W0231,2024-09-06,Solapur,30.2,67.0,0.0
W0232,2024-09-11,Solapur,26.2,70.0,0.0
W0233,2024-09-12,Ahmednagar,28.7,67.0,0.0
W0234,2024-09-13,Aurangabad,26.1,80.0,32.2
W0235,2024-09-14,Sangli,25.6,78.0,24.7
W0236,2024-09-14,Solapur,26.2,75.0,0.0
W0237,2024-09-19,Sangli,27.8,81.0,37.9
W0238,2024-09-20,Satara,22.9,84.0,78.9
W0239,2024-09-21,Aurangabad,28.5,65.0,14.3
W0240,2024-09-25,Nashik,27.5,87.0,0.0
W0241,2024-09-27,Aurangabad,28.7,64.0,33.5
W0242,2024-09-27,Kolhapur,24.0,83.0,57.4
W0243,2024-09-27,Nashik,25.0,79.0,45.8
W0244,2024-10-01,Nanded,25.4,58.0,0.0
W0245,2024-10-01,Solapur,28.2,47.0,0.0
W0246,2024-10-04,Kolhapur,21.8,58.0,0.0
W0247,2024-10-04,Solapur,26.3,52.0,0.0
W0248,2024-10-08,Beed,29.2,54.0,0.0
W0249,2024-10-08,Latur,25.5,48.0,0.0
W0250,2024-10-08,Sangli,24.1,58.0,0.0
W0251,2024-10-09,Nashik,25.3,51.0,0.0
W0252,2024-10-10,Pune,23.2,49.0,3.6
W0253,2024-10-12,Jalgaon,26.4,54.0,0.0
W0254,2024-10-13,Ahmednagar,27.6,41.0,0.0
W0255,2024-10-13,Aurangabad,26.2,56.0,0.0
W0256,2024-10-13,Latur,23.7,46.0,0.0
W0257,2024-10-14,Kolhapur,25.0,57.0,0.0
W0258,2024-10-15,Latur,24.2,56.0,0.0
W0259,2024-10-15,Sangli,26.9,59.0,0.0
W0260,2024-10-16,Nanded,24.9,46.0,0.0
W0261,2024-10-16,Satara,23.6,55.0,0.0
W0262,2024-10-18,Ahmednagar,27.6,45.0,0.0
W0263,2024-10-18,Jalgaon,26.3,49.0,0.0
W0264,2024-10-18,Solapur,25.5,40.0,0.0
W0265,2024-10-20,Aurangabad,28.0,45.0,0.0
W0266,2024-10-21,Beed,27.6,44.0,0.0
W0267,2024-10-23,Ahmednagar,27.0,52.0,0.0
W0268,2024-10-24,Jalgaon,25.9,52.0,0.0
W0269,2024-10-25,Nanded,28.7,50.0,0.0
W0270,2024-10-25,Nashik,22.9,61.0,0.0
W0271,2024-10-26,Pune,27.4,59.0,0.0
W0272,2024-10-28,Kolhapur,22.2,69.0,0.0
W0273,2024-10-30,Ahmednagar,28.1,51.0,0.0
W0274,2024-10-30,Sangli,26.8,56.0,0.0
W0275,2024-11-01,Satara,21.0,64.0,0.0
W0276,2024-11-01,Solapur,27.5,39.0,0.0
W0277,2024-11-03,Beed,26.5,48.0,0.0
W0278,2024-11-03,Latur,26.7,54.0,0.0
W0279,2024-11-04,Ahmednagar,28.4,41.0,0.0
W0280,2024-11-04,Nanded,29.3,48.0,0.0
W0281,2024-11-05,Ahmednagar,25.7,46.0,0.0
W0282,2024-11-05,Satara,22.4,64.0,0.0
W0283,2024-11-07,Aurangabad,24.5,57.0,0.0
W0284,2024-11-08,Ahmednagar,25.2,54.0,35.0
W0285,2024-11-10,Aurangabad,23.7,50.0,0.0
W0286,2024-11-10,Pune,27.0,55.0,0.0
W0287,2024-11-11,Kolhapur,24.8,72.0,49.2
W0288,2024-11-11,Pune,26.9,57.0,0.0
W0289,2024-11-11,Sangli,23.2,50.0,0.0
W0290,2024-11-12,Nanded,28.4,56.0,0.0
W0291,2024-11-17,Aurangabad,24.3,48.0,0.0
W0292,2024-11-21,Ahmednagar,27.9,52.0,0.0
W0293,2024-11-27,Nashik,21.5,54.0,0.0
W0294,2024-11-27,Solapur,25.3,40.0,0.0
W0295,2024-11-30,Aurangabad,26.7,42.0,0.0
W0296,2024-11-30,Nanded,28.3,56.0,0.0
W0297,2024-12-03,Pune,21.6,44.0,0.0
W0298,2024-12-04,Jalgaon,23.0,44.0,0.0
W0299,2024-12-04,Solapur,24.3,32.0,0.0
W0300,2024-12-05,Solapur,22.4,34.0,0.0
W0301,2024-12-06,Pune,20.4,51.0,0.0
W0302,2024-12-07,Nashik,21.8,46.0,0.0
W0303,2024-12-07,Satara,20.2,50.0,0.0
W0304,2024-12-08,Kolhapur,22.0,54.0,0.0
W0305,2024-12-09,Beed,21.7,29.0,0.0
W0306,2024-12-10,Ahmednagar,23.9,41.0,0.0
W0307,2024-12-11,Pune,19.8,50.0,0.0
W0308,2024-12-11,Solapur,23.6,39.0,0.0
W0309,2024-12-12,Aurangabad,22.1,36.0,0.0
W0310,2024-12-12,Sangli,22.4,42.0,0.0
W0311,2024-12-13,Nanded,24.5,34.0,0.0
W0312,2024-12-14,Jalgaon,26.0,40.0,0.0
W0313,2024-12-14,Satara,17.9,59.0,0.0
W0314,2024-12-15,Kolhapur,23.2,60.0,0.0
W0315,2024-12-17,Solapur,26.4,42.0,0.0
W0316,2024-12-18,Sangli,21.5,48.0,0.0
W0317,2024-12-19,Sangli,21.1,44.0,0.0
W0318,2024-12-20,Beed,22.0,42.0,0.0
W0319,2024-12-22,Nashik,18.6,45.0,0.0
W0320,2024-12-24,Latur,21.0,39.0,0.0
W0321,2024-12-24,Sangli,19.7,46.0,0.0
W0322,2024-12-25,Latur,25.0,46.0,0.0
W0323,2024-12-27,Sangli,20.2,39.0,0.0
W0324,2024-12-31,Aurangabad,24.7,40.0,0.0
W0325,2025-01-03,Satara,20.9,60.0,19.3
W0326,2025-01-08,Jalgaon,23.3,38.0,0.0
W0327,2025-01-08,Latur,23.1,42.0,0.0
W0328,2025-01-10,Pune,22.0,41.0,5.9
W0329,2025-01-13,Ahmednagar,21.9,33.0,0.0
W0330,2025-01-16,Ahmednagar,20.8,34.0,0.0
W0331,2025-01-17,Jalgaon,26.1,39.0,0.0
W0332,2025-01-17,Sangli,24.2,45.0,0.0
W0333,2025-01-19,Beed,23.3,33.0,0.0
W0334,2025-01-20,Pune,20.3,45.0,0.0
W0335,2025-01-22,Sangli,23.8,39.0,0.0
W0336,2025-01-23,Jalgaon,24.1,45.0,0.0
W0337,2025-01-23,Nashik,19.9,49.0,0.0
W0338,2025-01-23,Pune,19.8,50.0,0.0
W0339,2025-01-25,Solapur,21.9,31.0,0.0
W0340,2025-01-26,Kolhapur,20.9,53.0,0.0
W0341,2025-01-26,Solapur,23.1,29.0,0.0
W0342,2025-01-27,Latur,25.0,44.0,0.0
W0343,2025-02-01,Latur,24.2,34.0,0.0
W0344,2025-02-01,Solapur,23.1,40.0,0.0
W0345,2025-02-03,Jalgaon,25.9,37.0,0.0
W0346,2025-02-04,Latur,24.0,33.0,0.0
W0347,2025-02-05,Ahmednagar,22.7,31.0,0.0
W0348,2025-02-05,Kolhapur,22.0,60.0,10.2
W0349,2025-02-05,Sangli,23.0,40.0,0.0
W0350,2025-02-08,Nanded,24.7,41.0,0.0
W0351,2025-02-09,Ahmednagar,21.2,39.0,0.8
W0352,2025-02-09,Sangli,21.6,34.0,0.0
W0353,2025-02-10,Aurangabad,23.6,42.0,0.0
W0354,2025-02-10,Nashik,18.7,49.0,0.0
W0355,2025-02-11,Nashik,21.5,44.0,0.0
W0356,2025-02-12,Satara,18.0,58.0,0.0
W0357,2025-02-13,Aurangabad,23.2,42.0,0.0
W0358,2025-02-13,Kolhapur,20.2,51.0,0.0
W0359,2025-02-14,Solapur,22.7,39.0,0.0
W0360,2025-02-15,Pune,21.2,39.0,0.0
W0361,2025-02-17,Nashik,19.3,49.0,0.0
W0362,2025-02-18,Jalgaon,26.9,39.0,0.0
W0363,2025-02-19,Solapur,24.5,36.0,0.0
W0364,2025-02-20,Sangli,24.5,38.0,0.0
W0365,2025-02-21,Sangli,21.1,34.0,0.0
W0366,2025-02-23,Solapur,24.3,31.0,0.0
W0367,2025-02-24,Aurangabad,20.9,39.0,0.0
W0368,2025-02-25,Sangli,24.4,36.0,0.0
W0369,2025-02-26,Beed,23.6,36.0,0.0
W0370,2025-02-26,Jalgaon,22.6,42.0,0.0
W0371,2025-02-26,Kolhapur,18.7,51.0,0.0
W0372,2025-02-27,Aurangabad,21.5,45.0,0.0
W0373,2025-02-27,Nashik,19.2,51.0,0.0
W0374,2025-03-01,Satara,29.2,39.0,0.0
W0375,2025-03-02,Nashik,29.2,25.0,0.0
W0376,2025-03-04,Sangli,31.4,34.0,0.0
W0377,2025-03-05,Beed,34.3,22.0,0.0
W0378,2025-03-09,Nashik,30.5,34.0,0.0
W0379,2025-03-11,Nashik,31.1,32.0,0.0
W0380,2025-03-13,Nanded,30.1,33.0,0.0
W0381,2025-03-14,Latur,31.2,19.0,0.0
W0382,2025-03-18,Pune,32.4,30.0,0.0
W0383,2025-03-20,Aurangabad,31.5,24.0,0.0
W0384,2025-03-20,Kolhapur,26.8,42.0,0.0
W0385,2025-03-21,Nashik,29.9,34.0,0.0
W0386,2025-03-23,Satara,30.4,45.0,0.0
W0387,2025-03-23,Solapur,34.1,25.0,0.0
W0388,2025-03-24,Kolhapur,31.0,45.0,0.0
W0389,2025-03-24,Nanded,32.0,20.0,0.0
W0390,2025-03-24,Nashik,31.5,30.0,0.0
W0391,2025-03-25,Beed,33.3,18.0,0.0
W0392,2025-03-25,Solapur,34.2,20.0,0.0
W0393,2025-03-26,Beed,30.7,27.0,0.0
W0394,2025-03-28,Kolhapur,30.8,47.0,0.0
W0395,2025-03-28,Nashik,29.3,27.0,0.0
W0396,2025-03-29,Nanded,32.4,34.0,0.0
W0397,2025-04-02,Beed,38.0,15,0.0
W0398,2025-04-02,Satara,30.1,38.0,0.0
W0399,2025-04-04,Ahmednagar,35.1,27.0,0.0
W0400,2025-04-06,Nanded,34.7,32.0,0.0
W0401,2025-04-07,Aurangabad,33.4,27.0,0.0
W0402,2025-04-08,Jalgaon,35.4,26.0,0.0
W0403,2025-04-08,Latur,34.5,19.0,0.0
W0404,2025-04-09,Solapur,36.3,15,0.0
W0405,2025-04-10,Satara,30.8,43.0,0.0
W0406,2025-04-11,Ahmednagar,33.2,28.0,0.0
W0407,2025-04-15,Beed,34.6,25.0,0.0
W0408,2025-04-17,Satara,31.2,32.0,0.0
W0409,2025-04-21,Pune,35.0,29.0,0.0
W0410,2025-04-22,Ahmednagar,32.9,27.0,0.0
W0411,2025-04-22,Kolhapur,32.2,47.0,0.0
W0412,2025-04-22,Pune,32.8,33.0,0.0
W0413,2025-04-24,Jalgaon,38.8,19.0,0.0
W0414,2025-04-24,Nanded,36.7,25.0,0.0
W0415,2025-04-26,Nanded,34.2,31.0,0.0
W0416,2025-04-27,Satara,33.6,33.0,0.0
W0417,2025-04-28,Satara,31.9,41.0,0.0
W0418,2025-04-29,Latur,34.4,22.0,0.0
W0419,2025-04-30,Jalgaon,37.7,28.0,0.0
W0420,2025-05-01,Ahmednagar,39.0,29.0,0.0
W0421,2025-05-02,Solapur,39.7,20.0,0.0
W0422,2025-05-03,Latur,36.9,22.0,0.0
W0423,2025-05-06,Beed,41.0,16.0,0.0
W0424,2025-05-09,Pune,36.5,38.0,0.0
W0425,2025-05-09,Satara,33.6,44.0,0.0
W0426,2025-05-10,Aurangabad,36.5,17.0,0.0
W0427,2025-05-12,Sangli,35.1,27.0,0.0
W0428,2025-05-13,Sangli,38.1,25.0,0.0
W0429,2025-05-14,Jalgaon,40.2,22.0,8.4
W0430,2025-05-15,Jalgaon,42.1,30.0,0.0
W0431,2025-05-15,Pune,35.6,35.0,0.0
W0432,2025-05-15,Sangli,35.0,33.0,9.6
W0433,2025-05-16,Ahmednagar,37.6,27.0,0.0
W0434,2025-05-16,Kolhapur,35.6,38.0,0.0
W0435,2025-05-16,Latur,39.6,25.0,0.0
W0436,2025-05-16,Sangli,38.1,24.0,0.0
W0437,2025-05-18,Jalgaon,40.1,27.0,0.0
W0438,2025-05-18,Solapur,37.4,22.0,0.0
W0439,2025-05-20,Pune,35.9,31.0,0.0
W0440,2025-05-20,Satara,37.0,34.0,0.0
W0441,2025-05-21,Ahmednagar,38.1,28.0,0.0
W0442,2025-05-21,Latur,39.5,23.0,0.0
W0443,2025-05-21,Nanded,38.8,21.0,0.0
W0444,2025-05-21,Pune,39.2,26.0,0.0
W0445,2025-05-22,Beed,38.3,20.0,0.0
W0446,2025-05-22,Kolhapur,36.4,45.0,0.0
W0447,2025-05-24,Pune,35.4,23.0,0.0
W0448,2025-05-26,Satara,36.1,42.0,0.0
W0449,2025-05-26,Solapur,40.9,18.0,0.0
W0450,2025-05-27,Jalgaon,38.2,25.0,0.0
W0451,2025-05-27,Nashik,37.2,31.0,0.0
W0452,2025-05-27,Pune,36.5,33.0,0.0
W0453,2025-05-29,Latur,35.8,29.0,0.0
W0454,2025-05-31,Pune,35.2,32.0,0.0
W0455,2025-05-31,Solapur,36.6,16.0,0.0
W0456,2025-06-01,Beed,28.4,68.0,0.0
W0457,2025-06-02,Nashik,23.4,85.0,35.3
W0458,2025-06-04,Sangli,27.9,80.0,0.0
W0459,2025-06-05,Aurangabad,25.6,77.0,0.0
W0460,2025-06-05,Kolhapur,26.7,81.0,41.2
W0461,2025-06-07,Latur,28.0,69.0,17.9
W0462,2025-06-09,Aurangabad,26.7,73.0,0.0
W0463,2025-06-10,Nashik,24.8,87.0,0.0
W0464,2025-06-12,Aurangabad,28.3,66.0,0.0
W0465,2025-06-13,Nanded,29.5,72.0,0.0
W0466,2025-06-15,Latur,28.8,66.0,41.5
W0467,2025-06-17,Jalgaon,31.2,75.0,0.0
W0468,2025-06-17,Nanded,29.7,68.0,5.7
W0469,2025-06-19,Jalgaon,30.3,71.0,0.0
W0470,2025-06-19,Satara,21.9,82.0,13.9
W0471,2025-06-20,Pune,24.7,85.0,40.7
W0472,2025-06-21,Nashik,26.0,79.0,63.2
W0473,2025-06-22,Nanded,26.5,71.0,0.0
W0474,2025-06-22,Solapur,27.4,62.0,0.0
W0475,2025-06-23,Latur,29.3,74.0,0.0
W0476,2025-06-24,Jalgaon,27.5,68.0,0.0
W0477,2025-06-25,Pune,26.5,80.0,0.0
W0478,2025-06-26,Nashik,23.0,82.0,0.0
W0479,2025-06-27,Beed,26.0,75.0,0.0
W0480,2025-06-27,Jalgaon,27.7,69.0,0.0
W0481,2025-06-27,Nashik,26.7,74.0,67.1
W0482,2025-06-28,Aurangabad,25.6,71.0,0.0
W0483,2025-06-30,Nanded,30.2,66.0,0.0
W0484,2025-07-01,Kolhapur,26.8,89.0,83.8
W0485,2025-07-01,Solapur,25.6,61.0,0.0
W0486,2025-07-03,Latur,28.4,80.0,39.9
W0487,2025-07-04,Ahmednagar,25.5,72.0,0.0
W0488,2025-07-04,Beed,27.2,76.0,25.5
W0489,2025-07-04,Satara,21.6,84.0,9.3
W0490,2025-07-05,Jalgaon,30.9,77.0,34.7
W0491,2025-07-06,Aurangabad,25.7,72.0,0.0
